          *date       Overpass      wb_1st_00      wb_1st_01      wb_1st_05      wb_2nd_00      wb_2nd_01      wb_2nd_05     percent_cb           wwml          wwmax      max_wskew          wstar        wspd_cb   max_duration  mean_duration        num_cld     num_cld_30 min_ww_percent   LCL_mean_met      Hcb_vceil
       20120901           2100         0.8110         0.8690         1.1060         1.2150         1.2200         1.3150         1.1500         2.3990         3.6930         2.0562         2.6199           -NaN        61.0000        18.2000         5.0000         1.0000        47.1538         3.1720         2.6510
       20120906           2200         0.6700         0.7530         1.1170         1.1940         1.2030         1.3880         6.2780         1.4520         2.4570         1.2107         2.5771         2.0270       238.0000        61.7500         8.0000         4.0000        22.7134         3.1730         2.7420
       20120917           1902         0.9840         1.0690         1.4200         1.5570         1.5630         1.6800         6.9110         0.9270         1.5320         1.3514         2.4018         2.6810       161.0000       115.7500         4.0000         4.0000        83.3512         1.7200         1.4460
       20120926           1933         0.5870         0.6870         1.0910         1.2080         1.2220         1.4580        43.0130         1.0540         1.2810         1.4793         1.9346         2.6660       610.0000       211.6154        13.0000        12.0000        93.3827         1.6510         1.2290
       20121017           2100         1.2170         1.2840         1.5190         1.9990         2.0040         2.0830        11.8500         2.1040         2.8710         2.3006         2.5787        10.6770       391.0000        68.8182        11.0000         4.0000        69.0372         2.9300         2.5540
       20121206           1900         0.5750         0.6480         0.9650         0.9380         0.9460         1.1210        23.7630         0.9540         1.0620         0.7759         1.7706         6.0890       588.0000        99.0526        19.0000         8.0000        93.2600         1.4130         0.9790
       20130301           2000         0.5250         0.6360         1.0860         1.0630         1.0800         1.3230        80.6380         0.6380         0.7020         0.8884         1.5880         9.9390       629.0000       430.8182        11.0000        11.0000        91.2612         0.7900         0.7580
       20130325           2200         1.0890         1.2080         1.6650         2.1240         2.1330         2.2920        67.5460         1.7370         2.0880         1.0022         2.2442        11.1210       642.0000       563.7778         9.0000         9.0000        93.4383         1.7340         1.6620
       20130325           1700         0.8670         0.9570         1.3370         1.5420         1.5490         1.7080        33.1850         1.6350         2.6220         1.3641         2.3044        12.2110       337.0000        81.9167        24.0000        17.0000        91.1451         1.1930         1.1010
       20130329           2100         0.7520         0.8470         1.1950         1.3000         1.3090         1.4600        34.4060         0.8500         1.0140         0.8668         1.7107         7.1850       451.0000        63.7188        32.0000        18.0000        90.9170         1.3490         1.1160
